eV,H,He,Li,U1,U2,U3,U4,U5
4.031848069,0,0,3.97E-45,0,0,2.21E-128,2.18E-286,2.97E-181
4.08329768,0,0,2.47E-41,0,0,6.98E-122,1.23E-276,1.62E-173
4.13540383,0,0,1.04E-37,0,0,1.49E-115,4.73E-267,5.96E-166
4.188174895,0,0,2.96E-34,0,0,2.16E-109,1.23E-257,1.49E-158
4.241619362,0,0,5.72E-31,0,0,2.12E-103,2.16E-248,2.51E-151
4.295745822,0,0,7.48E-28,0,0,1.41E-97,2.57E-239,2.87E-144
4.35056298,0,0,6.62E-25,0,0,6.31E-92,2.07E-230,2.23E-137
4.406079649,0,0,3.96E-22,0,0,1.92E-86,1.13E-221,1.17E-130
4.462304754,0,0,1.61E-19,0,1.22972596615e-313,3.96E-81,4.16E-213,4.14E-124
4.519247338,0,0,4.41E-17,0,2.04E-303,5.51E-76,1.04E-204,9.95E-118
4.576916554,0,0,8.21E-15,0,2.29E-293,5.20E-71,1.76E-196,1.62E-111
4.635321675,0,0,1.03E-12,0,1.74E-283,3.33E-66,2.02E-188,1.78E-105
4.694472093,0,0,8.80E-11,0,8.94E-274,1.44E-61,1.57E-180,1.33E-99
4.754377317,0,0,5.08E-09,0,3.11E-264,4.21E-57,8.23E-173,6.72E-94
4.81504698,0,0,1.98E-07,0,7.34E-255,8.36E-53,2.92E-165,2.30E-88
4.876490837,0,0,5.24E-06,1.3e-322,1.17E-245,1.12E-48,7.04E-158,5.31E-83
4.938718766,0,0,9.38E-05,2.856563521337e-312,1.27E-236,1.02E-44,1.15E-150,8.32E-78
5.001740773,0,0,0.001136975,4.47E-302,9.26E-228,6.27E-41,1.27E-143,8.83E-73
5.065566992,0,0,0.009328436,4.73E-292,4.59E-219,2.61E-37,9.46E-137,6.34E-68
5.130207685,0,0,0.05181619,3.39E-282,1.54E-210,7.37E-34,4.78E-130,3.08E-63
5.195673244,0,0,0.194859235,1.64E-272,3.49E-202,1.41E-30,1.64E-123,1.01E-58
5.261974197,0,0,0.49610701,5.40E-263,5.37E-194,1.82E-27,3.80E-117,2.26E-54
5.329121202,0,0,0.855123008,1.20E-253,5.59E-186,1.59E-24,5.96E-111,3.41E-50
5.397125058,0,0,0.997885417,1.81E-244,3.94E-178,9.44E-22,6.33E-105,3.48E-46
5.465996697,0,0,0.788372773,1.84E-235,1.88E-170,3.79E-19,4.55E-99,2.41E-42
5.535747193,0,0,0.421678458,1.27E-226,6.06E-163,1.03E-16,2.22E-93,1.13E-38
5.606387762,0,0,0.152696847,5.94E-218,1.33E-155,1.89E-14,7.31E-88,3.57E-35
5.67792976,0,0,0.037434978,1.88E-209,1.96E-148,2.35E-12,1.63E-82,7.66E-32
5.750384692,0,0,0.006213323,4.02E-201,1.97E-141,1.98E-10,2.47E-77,1.11E-28
5.823764207,0,0,0.000698183,5.83E-193,1.33E-134,1.13E-08,2.52E-72,1.09E-25
5.898080103,0,0,5.31E-05,5.73E-185,6.12E-128,4.37E-07,1.75E-67,7.29E-23
5.97334433,0,0,2.74E-06,3.80E-177,1.90E-121,1.14E-05,8.19E-63,3.29E-20
6.049568989,0,0,9.54E-08,1.71E-169,4.01E-115,0.000202361,2.60E-58,1.00E-17
6.126766335,0,0,2.25E-09,5.21E-162,5.71E-109,0.002425603,5.59E-54,2.07E-15
6.204948781,0,0,3.60E-11,1.07E-154,5.51E-103,0.019683866,8.13E-50,2.90E-13
6.284128898,1.006670894e-314,0,3.89E-13,1.50E-147,3.60E-97,0.108143395,8.01E-46,2.74E-11
6.364319416,1.71E-304,0,2.85E-15,1.42E-140,1.59E-91,0.402242961,5.34E-42,1.76E-09
6.44553323,1.96E-294,0,1.41E-17,9.07E-134,4.77E-86,1.012921441,2.41E-38,7.64E-08
6.527783397,1.52E-284,0,4.75E-20,3.93E-127,9.66E-81,1.726879096,7.38E-35,2.24E-06
6.611083142,8.03E-275,0,1.08E-22,1.15E-120,1.33E-75,1.993182004,1.53E-31,4.46E-05
6.695445859,2.86E-265,0,1.66E-25,2.29E-114,1.23E-70,1.557509984,2.14E-28,0.000601223
6.780885111,6.90E-256,0,1.73E-28,3.08E-108,7.75E-66,0.823974132,2.03E-25,0.005482436
6.867414637,1.13E-246,0,1.22E-31,2.80E-102,3.30E-61,0.295117643,1.30E-22,0.033846255
6.955048349,1.25E-237,0,5.83E-35,1.73E-96,9.51E-57,0.071560873,5.67E-20,0.141464201
7.043800337,9.33E-229,0,1.89E-38,7.20E-91,1.86E-52,0.011747814,1.67E-17,0.400296077
7.133684872,4.73E-220,0,4.13E-42,2.03E-85,2.45E-48,0.001307408,3.32E-15,0.766858039
7.224716405,1.62E-211,0,6.12E-46,3.89E-80,2.19E-44,0.000133931,4.49E-13,0.99459775
7.316909573,3.77E-203,0,6.14E-50,5.03E-75,1.33E-40,0.000500831,4.10E-11,0.873330901
7.410279201,5.93E-195,0,4.17E-54,4.41E-70,5.45E-37,0.004664131,2.53E-09,0.519169342
7.504840299,6.32E-187,0,1.92E-58,2.62E-65,1.51E-33,0.02970152,1.06E-07,0.208947946
7.600608073,4.55E-179,0,5.97E-63,1.05E-60,2.84E-30,0.128056435,3.01E-06,0.056933257
7.69759792,2.22E-171,0,1.26E-67,2.86E-56,3.62E-27,0.373786019,5.77E-05,0.010502503
7.795825436,7.35E-164,0,1.80E-72,5.26E-52,3.12E-24,0.738658252,0.000749691,0.001311651
7.895306413,1.64E-156,0,1.73E-77,6.56E-48,1.82E-21,0.9882411,0.00659417,0.000110903
7.996056847,2.49E-149,0,1.13E-82,5.53E-44,7.18E-19,0.895119724,0.039267846,6.35E-06
8.098092938,2.55E-142,0,5.02E-88,3.16E-40,1.92E-16,0.548906279,0.158311659,3.42E-07
8.201431091,1.77E-135,0,1.51E-93,1.22E-36,3.47E-14,0.227884154,0.432103294,3.27E-06
8.306087921,8.33E-129,0,3.06E-99,3.20E-33,4.26E-12,0.064051442,0.798474611,7.54E-05
8.412080256,2.65E-122,0,4.20E-105,5.67E-30,3.53E-10,0.012188284,0.998926425,0.001176528
8.519425139,5.71E-116,0,3.91E-111,6.81E-27,1.98E-08,0.0015702,0.846066987,0.012434815
8.628139828,8.32E-110,0,2.46E-117,5.53E-24,7.54E-07,0.000136951,0.485148679,0.088976499
8.738241803,8.22E-104,0,1.05E-123,3.04E-21,1.94E-05,8.09E-06,0.188340541,0.431032649
8.849748768,5.49E-98,0,3.03E-130,1.13E-18,0.000338235,3.23E-07,0.049500733,1.413656453
8.962678652,2.49E-92,0,5.92E-137,2.86E-16,0.003990679,8.75E-09,0.00880802,3.138892551
9.077049611,7.62E-87,0,7.83E-144,4.88E-14,0.031876726,1.60E-10,0.00106107,4.71854255
9.192880035,1.58E-81,0,7.02E-151,5.64E-12,0.172384986,1.99E-12,8.65E-05,4.802176949
9.310188548,2.22E-76,0,4.25E-158,4.41E-10,0.631137554,1.67E-14,4.78E-06,3.308775479
9.428994011,2.11E-71,0,1.75E-165,2.34E-08,1.564398763,9.50E-17,1.79E-07,1.543459702
9.549315528,1.36E-66,0,4.86E-173,8.38E-07,2.625244528,3.66E-19,4.52E-09,0.487441104
9.671172443,5.92E-62,0,9.14E-181,2.04E-05,2.982571866,9.53E-22,7.75E-11,0.10421923
9.79458435,1.75E-57,0,1.16E-188,0.0003346,2.294092518,1.68E-24,8.98E-13,0.015085942
9.919571093,3.49E-53,0,1.00E-196,0.003723656,1.194620043,2.01E-27,7.06E-15,0.001478413
10.04615277,4.72E-49,0,5.86E-205,0.028055151,0.421160393,1.62E-30,3.75E-17,9.81E-05
10.17434972,4.32E-45,0,2.32E-213,0.143104888,0.100522691,8.89E-34,1.35E-19,4.41E-06
10.30418257,2.68E-41,0,6.21E-222,0.4941914,0.016243497,3.30E-37,3.29E-22,1.34E-07
10.4356722,1.12E-37,0,1.12E-230,1.155406366,0.001777026,8.27E-41,5.43E-25,2.76E-09
10.56883973,3.19E-34,0,1.38E-239,1.828829362,0.000131615,1.41E-44,6.08E-28,3.84E-11
10.7037066,6.14E-31,0,1.15E-248,1.959794218,6.60E-06,1.62E-48,1.46E-27,3.63E-13
10.84029447,7.99E-28,0,6.44E-258,1.421826535,2.24E-07,1.26E-52,1.41E-24,2.32E-15
10.97862531,7.04E-25,0,2.45E-267,0.698363632,5.15E-09,6.64E-57,9.25E-22,1.00E-17
